City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,naze,28.3667,129.4833,74.98,91,100,5.08,JP,1623435075
285,kanniyakumari,8.0833,77.5667,81.09,81,71,19.57,IN,1623435247
286,garowe,8.4054,48.4845,85.19,39,90,16.11,SO,1623435247
287,sikandarabad,28.45,77.7,95.43,37,23,12.37,IN,1623435247
288,sao joao da barra,-21.6403,-41.0511,82.49,78,17,6.33,BR,1623435045
289,bathsheba,13.2167,-59.5167,86.61,58,20,13.8,BB,1623435248
290,bam,29.106,58.357,99.54,7,1,8.52,IR,1623435248
291,hualmay,-11.0964,-77.6139,69.37,69,49,10.98,PE,1623435249
292,port macquarie,-31.4333,152.9167,45.37,78,3,4.14,AU,1623435009
293,avera,33.194,-82.5271,89.91,64,84,12.01,US,1623435147
294,port hedland,-20.3167,118.5667,71.65,94,77,1.14,AU,1623435250
295,ritchie,-29.038,24.6028,61.81,42,11,10.65,ZA,1623435250
296,presidencia roque saenz pena,-26.7852,-60.4388,71.76,44,0,3.67,AR,1623435250
297,mancio lima,-7.6142,-72.8958,91.47,58,75,0.0,BR,1623435251
298,egvekinot,66.3167,-179.1667,38.41,77,99,0.51,RU,1623435251
299,rocha,-34.4833,-54.3333,53.2,65,78,12.68,UY,1623435166
300,tessalit,20.1986,1.0114,107.24,7,21,11.7,ML,1623435252
301,broken hill,-31.95,141.4333,54.23,65,100,5.7,AU,1623435252
302,kingsville,27.5159,-97.8561,94.96,57,40,5.99,US,1623435253
303,hofn,64.2539,-15.2082,53.62,50,0,29.93,IS,1623435253
304,yerbogachen,61.2767,108.0108,38.53,79,10,4.59,RU,1623435254
305,zarate,-34.0981,-59.0286,63.03,42,74,8.5,AR,1623435254
306,rudiskes,54.5167,24.8333,68.81,84,82,2.57,LT,1623435255
307,hobyo,5.3505,48.5268,78.44,78,89,23.82,SO,1623435255
308,beloha,-25.1667,45.05,67.44,81,2,12.08,MG,1623435256
309,mecca,21.4267,39.8261,92.88,30,4,6.42,SA,1623435088
310,martin,27.0837,-80.4164,91.98,63,25,4.27,US,1623435154
311,inhambane,-23.865,35.3833,66.18,94,40,3.44,MZ,1623435256
312,sisimiut,66.9395,-53.6735,39.87,73,32,7.27,GL,1623435257
313,kjollefjord,70.9457,27.3465,64.18,89,100,6.02,NO,1623435258
314,soyo,-6.1349,12.3689,76.48,90,40,9.93,AO,1623435258
315,sarahan,31.5167,77.8,64.67,81,54,2.08,IN,1623435258
316,bindura,-17.3019,31.3306,42.84,42,12,4.23,ZW,1623435259
317,birao,10.2849,22.7882,92.32,31,93,6.06,CF,1623435259
318,chalus,36.655,51.4204,74.21,78,3,1.72,IR,1623435171
319,sao felix do xingu,-6.6447,-51.995,89.94,41,99,1.88,BR,1623435260
320,baoning,25.3378,110.026,75.88,93,44,2.26,CN,1623435260
321,dourbali,11.8091,15.8632,98.82,24,72,8.72,TD,1623435013
322,makakilo city,21.3469,-158.0858,77.32,78,1,6.91,US,1623435261
323,omsukchan,62.5333,155.8,39.24,86,99,2.37,RU,1623435261
324,hovd,48.0056,91.6419,53.69,80,64,1.79,MN,1623435262
325,batouri,4.4333,14.3667,75.11,72,87,3.71,CM,1623435262
326,merauke,-8.4667,140.3333,78.03,88,61,11.03,ID,1623435263
327,sur,22.5667,59.5289,87.13,70,0,14.83,OM,1623435263
328,te anau,-45.4167,167.7167,41.07,91,16,1.21,NZ,1623435264
329,caravelas,-17.7125,-39.2481,77.25,71,52,6.46,BR,1623435264
330,isangel,-19.55,169.2667,72.48,73,84,10.22,VU,1623435264
331,show low,34.2542,-110.0298,85.66,7,1,6.91,US,1623435265
332,maneadero,31.7167,-116.5667,74.19,75,0,3.0,MX,1623435265
333,shimoda,34.6667,138.95,67.15,81,100,1.21,JP,1623435266
334,conceicao do araguaia,-8.2578,-49.2647,95.13,38,0,4.61,BR,1623435266
335,celestun,20.8667,-90.4,86.83,59,100,6.15,MX,1623435266
336,kayerkan,69.3497,87.7602,34.41,99,100,7.14,RU,1623435267
337,nuuk,64.1835,-51.7216,41.61,81,75,6.91,GL,1623435267
338,ust-nera,64.5667,143.2,48.31,62,11,1.68,RU,1623435268
339,guasdualito,7.2424,-70.7324,78.31,89,95,6.67,VE,1623434998
340,severo-kurilsk,50.6789,156.125,47.05,80,100,5.59,RU,1623435268
341,knysna,-34.0363,23.0471,59.38,52,48,3.8,ZA,1623435269
342,marshfield,44.6689,-90.1718,86.88,65,1,8.05,US,1623435134
343,isla mujeres,21.2311,-86.731,89.65,70,92,12.44,MX,1623435269
344,san carlos,9.6612,-68.5827,83.12,65,91,5.28,VE,1623435270
345,ginda,30.6945,78.4932,67.91,85,31,3.87,IN,1623435270
346,san francisco,37.7749,-122.4194,73.63,63,20,4.0,US,1623435000
347,elizabeth city,36.2946,-76.2511,84.02,83,75,4.61,US,1623435165
348,rafaela,-31.2503,-61.4867,66.99,30,68,4.0,AR,1623435016
349,jalpan,21.2333,-99.4833,85.84,41,100,3.49,MX,1623435271
350,listvyanskiy,54.4399,83.4984,47.19,79,81,8.1,RU,1623435272
351,ostrovnoy,68.0531,39.5131,69.31,44,24,22.12,RU,1623435272
352,thanh hoa,19.8,105.7667,78.73,90,92,3.62,VN,1623435272
353,abu dhabi,24.4667,54.3667,89.71,79,0,6.91,AE,1623435248
354,haines junction,60.7522,-137.5108,66.15,27,37,10.36,CA,1623435273
355,grand-santi,4.25,-54.3833,80.64,91,98,0.83,GF,1623435273
356,la asuncion,11.0333,-63.8628,73.13,100,61,17.27,VE,1623435274
357,lompoc,34.6391,-120.4579,80.85,47,1,16.11,US,1623435274
358,san luis,-33.295,-66.3356,65.26,44,1,16.13,AR,1623435275
359,bilibino,68.0546,166.4372,41.47,79,100,2.37,RU,1623435275
360,aleksandrovka,46.8383,32.7612,66.31,69,98,6.55,UA,1623435276
361,arrecife,28.963,-13.5477,80.58,47,0,24.16,ES,1623435276
362,guerrero negro,27.9769,-114.0611,69.39,60,10,20.15,MX,1623435276
363,mezen,65.8522,44.24,66.43,45,25,1.45,RU,1623435277
364,gazanjyk,39.2446,55.5154,82.02,42,0,12.46,TM,1623435277
365,portland,45.5234,-122.6762,59.85,84,100,3.0,US,1623434979
366,ravenna,44.4167,11.9833,79.11,71,89,5.99,IT,1623435278
